house_size_m2,bedrooms,building_age_years,city,heating_type,insulation_grade,average_temperature_c,energy_consumption_kwh
94.7,1,36.9,Munich,District,C,9.7,6844.9
95.4,1,55.4,Cologne,Gas,A,19.9,4696.9
166.2,6,43.4,Hamburg,Electric,B,9.7,9409.1
170.7,7,1.0,Berlin,Electric,D,12.6,10660.9
161.1,4,36.7,Berlin,Gas,A,9.3,7464.5
103.1,3,31.6,Cologne,District,A,10.9,6083.1
146.1,6,39.1,Berlin,Gas,D,10.5,9647.5
140.6,3,65.6,Munich,Gas,C,,8633.9
145.5,3,1.0,Munich,Gas,A,16.3,5916.0
176.8,6,17.0,Berlin,Heat Pump,D,18.7,7439.0
145.7,4,43.0,Munich,Heat Pump,D,12.0,8444.8
167.6,5,1.0,Cologne,,C,13.4,7364.7
138.2,4,62.5,Berlin,Gas,C,4.7,9269.0
148.9,5,38.1,Cologne,Electric,B,10.1,7596.8
165.3,6,48.6,Leipzig,Gas,,15.2,7075.4
65.1,2,17.4,Munich,Electric,C,14.8,6056.5
119.7,4,47.9,Berlin,District,,11.6,6417.6
112.4,1,53.5,Hamburg,Heat Pump,C,14.9,6308.8
104.3,3,140.0,Berlin,Electric,D,13.0,28000.0
121.8,3,35.2,Munich,Electric,A,16.5,6046.6
206.8,5,35.9,Leipzig,District,C,11.9,8818.4
93.4,2,11.0,Leipzig,Electric,B,8.7,7183.0
181.5,5,26.8,Cologne,Gas,D,12.2,10517.2
54.2,2,26.6,Munich,Gas,B,-4.2,8461.3
118.9,2,38.4,Cologne,Gas,C,12.4,8088.2
142.8,4,52.0,,Gas,C,-7.0,12351.2
163.1,4,6.7,Munich,Gas,B,1.9,9878.0
169.1,5,27.2,Hamburg,Electric,C,12.8,9224.1
173.1,6,62.6,Berlin,Heat Pump,C,12.9,8415.7
118.3,4,13.6,Berlin,Gas,C,4.7,8892.5
112.8,5,11.9,Hamburg,Electric,C,,7997.9
176.2,5,34.5,Berlin,District,D,17.4,8746.5
125.8,3,,Berlin,Heat Pump,B,8.1,6309.0
73.8,2,,Cologne,Electric,B,21.7,4026.6
80.6,3,59.2,Leipzig,Gas,A,10.5,6384.1
90.9,3,48.8,Hamburg,District,C,12.5,7061.0
158.9,3,48.5,Cologne,Gas,B,18.6,7464.1
141.8,4,42.2,Leipzig,Gas,B,11.2,7408.8
168.1,5,81.2,Berlin,District,A,5.5,8211.0
114.5,6,25.5,Munich,Electric,D,10.0,9053.1
142.6,6,1.0,Munich,Heat Pump,,10.3,6341.5
165.0,4,65.3,,Electric,C,3.7,11034.9
120.2,3,19.9,Cologne,Heat Pump,A,9.2,5914.9
156.9,3,32.4,Munich,Gas,D,6.8,10335.1
103.2,2,58.8,Hamburg,Gas,A,15.1,5877.9
117.6,4,1.0,Berlin,Gas,B,10.7,6176.2
116.7,5,2.5,Berlin,Gas,D,9.1,8759.6
77.6,1,1.0,Leipzig,District,D,10.0,6816.5
158.4,4,12.5,Berlin,Gas,B,11.6,7222.9
112.5,1,39.7,Berlin,Electric,B,13.6,6745.6
135.6,4,41.5,Munich,Heat Pump,C,5.5,8341.7
158.1,3,36.1,Hamburg,Heat Pump,D,5.3,9537.3
156.4,4,1.0,Hamburg,Electric,B,16.0,7622.8
166.9,4,1.0,Hamburg,Electric,B,8.4,8406.5
130.3,4,31.2,Berlin,District,C,3.4,8814.0
114.7,2,19.6,Berlin,Heat Pump,C,12.7,5325.2
131.2,2,40.1,Cologne,Heat Pump,C,12.8,6470.1
54.0,4,45.4,Hamburg,District,C,2.8,7395.2
,1,33.0,Hamburg,,A,11.6,3726.7
71.5,1,46.7,Cologne,Gas,D,14.2,7854.8
87.1,4,35.0,Cologne,Electric,D,12.4,8005.3
154.2,7,41.7,Berlin,Gas,C,13.7,8891.9
91.5,1,14.5,Munich,Heat Pump,A,3.5,5900.0
116.8,3,26.0,Hamburg,District,B,12.2,6216.7
197.4,6,34.3,Munich,Electric,C,,10454.3
117.9,5,48.1,Cologne,Electric,A,8.1,7379.0
170.4,4,21.3,Hamburg,Gas,D,-18.0,30000.0
90.2,2,41.5,Cologne,District,B,17.9,3780.2
125.1,4,24.2,Leipzig,Gas,C,19.5,5402.2
89.4,3,27.4,Hamburg,Gas,D,17.1,6721.3
118.7,3,48.2,Leipzig,Gas,B,10.0,7299.1
175.3,5,1.0,Hamburg,Gas,B,12.3,7961.4
52.1,1,1.5,Leipzig,Electric,C,14.3,5620.4
155.9,4,1.0,Munich,Electric,C,11.1,8504.7
146.4,4,1.0,Hamburg,Gas,B,11.2,7628.5
,3,15.1,Hamburg,Gas,C,14.6,7149.6
65.6,1,46.5,Berlin,Gas,D,10.2,7937.5
138.5,4,23.7,Munich,Electric,B,6.9,8925.6
,4,34.4,Leipzig,Gas,B,8.4,7255.4
146.2,4,54.0,Hamburg,Heat Pump,B,13.7,6243.3
136.0,4,59.2,Berlin,Gas,B,10.5,8210.2
211.9,6,28.5,Munich,Gas,A,12.2,8441.8
123.5,4,59.8,Berlin,Electric,A,13.9,6704.2
85.9,2,32.0,Berlin,Electric,C,8.6,8434.6
143.6,4,11.6,Leipzig,Gas,B,14.3,5528.0
145.6,4,16.9,Munich,Gas,D,12.4,8417.3
200.2,8,,Munich,District,B,4.3,8724.9
175.1,7,10.5,Hamburg,Gas,A,17.7,6051.8
,5,22.1,Berlin,Electric,C,8.0,9194.6
205.2,5,47.7,Munich,Electric,D,2.2,12293.3
77.9,1,67.9,Cologne,,B,5.3,7183.6
104.3,4,1.0,Hamburg,Electric,B,5.4,7178.1
90.5,3,38.6,Leipzig,Heat Pump,B,10.8,6320.7
116.3,4,7.1,Hamburg,Heat Pump,B,9.1,6640.1
68.9,1,40.4,Hamburg,Gas,B,8.8,6246.1
165.5,6,27.1,Cologne,Gas,B,13.6,7390.5
124.3,4,1.0,Leipzig,Gas,A,12.2,5187.1
64.4,1,50.4,Cologne,Electric,B,12.1,5332.1
86.3,2,16.7,Leipzig,Heat Pump,D,12.5,6199.0
150.0,5,18.3,Cologne,Gas,C,13.6,7469.2
175.2,5,6.5,Leipzig,Gas,B,-0.0,9678.6
230.8,6,,Berlin,District,A,8.7,7922.8
274.9,8,39.4,Cologne,Gas,B,-0.4,12373.3
154.9,4,25.8,Munich,Electric,B,10.7,8323.4
87.5,3,37.2,Hamburg,Heat Pump,C,10.5,6421.4
40.0,3,38.0,Cologne,Gas,D,15.7,6322.4
147.9,2,59.1,Leipzig,Gas,D,16.4,8135.1
96.0,3,22.5,Leipzig,Gas,D,11.5,8168.4
115.1,3,1.0,Munich,District,D,8.0,7985.7
105.6,3,53.5,Cologne,Gas,D,12.9,8645.2
128.2,3,22.7,Cologne,Gas,A,7.9,6970.1
186.2,4,54.5,Munich,Gas,A,10.5,7915.3
142.5,4,38.4,Berlin,Gas,B,15.4,6761.7
